Thumbnail,Workshop Item Name,Unique Visitors,Current Subscribers,Current Favorites,Collections,Comments,Stars,Ratings,Positive Ratings,Negative Ratings,Total Unique Subscribers,Total Unique Favorites
Animated,[ARC9] BOCW Assault Rifles,38088,21064,2232,24511,89,5,592,520,72,81902,2592
Animated,[ARC9] BOCW Assault Rifles DLC,20484,14750,1158,12840,57,4,286,257,29,48271,1304
Animated,[ARC9] BOCW Light Machine Guns,7002,7343,480,4405,19,4,127,115,12,19767,544
Animated,[ARC9] BOCW Melee DLC,6015,5100,392,2164,11,4,102,91,11,11466,423
Animated,[ARC9] BOCW Pistols,61533,45697,3349,51063,90,5,687,610,77,162051,3914
Animated,[ARC9] BOCW Pistols DLC,30331,19655,1873,23918,39,5,445,405,40,78349,2200
Animated,[ARC9] BOCW Shotguns,29665,19135,1433,15767,41,5,337,308,29,59115,1623
Animated,[ARC9] BOCW Shotguns DLC,12835,12650,960,11098,29,4,218,204,14,40263,1095
Animated,[ARC9] BOCW Sniper Rifles,10380,8872,613,5392,17,4,159,140,19,24437,684
Animated,[ARC9] BOCW Sniper Rifles DLC,9306,7973,496,4766,6,4,135,126,9,21563,561
Animated,[ARC9] BOCW Special DLC,6721,4011,279,1200,12,4,86,80,6,8353,301
Animated,[ARC9] BOCW Submachine Guns,11093,9627,616,5851,23,4,178,157,21,26880,689
Animated,[ARC9] BOCW Submachine Guns DLC,9399,8695,545,5206,20,4,166,152,14,24074,614
Animated,"[ARC9] BOCW Tactical Rifles",13652,10645,802,7487,19,4,203,182,21,31912,893
Animated,"[ARC9] Multiplayer Camo Pack (Call of Duty: Black Ops Cold War)",11367,12339,1116,16698,8,5,250,233,17,51192,1309
Animated,"[ARC9] Zombies Camo Pack (Call of Duty: Black Ops Cold War)",10249,11656,1056,15466,3,4,203,187,16,48769,1236
Animated,"[BSMod] BOCW Finishing Moves",14090,7048,1251,2008,70,5,264,247,17,14097,1325
Static,"[ARC9] BOCW Light Machine Guns DLC (MG 82)",6620,6398,385,3881,21,4,119,111,8,17515,443
Static,"[ARC9] BOCW Melee (Knife)",7347,5762,306,3670,10,4,110,99,11,16192,360
Static,"[ARC9] BOCW Special (M79)",4394,3629,226,1562,12,4,80,73,7,8614,245
Static,"[ARC9] BOCW Tactical Rifles DLC (CARV.2)",9392,7970,491,5975,15,4,150,136,14,24612,559
Static,"[ArcCW] .410 Ironhide (Call of Duty: Black Ops Cold War)",13239,5572,741,4851,49,4,171,157,14,35554,917
Static,"[ArcCW] AMP63 (Call of Duty: Black Ops Cold War)",16034,17138,1172,13592,43,4,244,218,26,131320,1475
Static,"[ArcCW] AUG (Call of Duty: Black Ops Cold War)",10566,6080,768,5432,27,4,203,181,22,40886,973
Static,[ArcCW] Ballistic Knife (Call of Duty: Black Ops Cold War),13519,9453,977,7002,8,4,211,183,28,54009,1209
Static,[ArcCW] C58 (Call of Duty: Black Ops Cold War),11579,7454,1014,6349,12,4,225,203,22,52919,1286
Static,"[ArcCW] EM2 (Call of Duty: Black Ops Cold War)",11379,6604,857,5686,31,4,185,170,15,44440,1090
Static,[ArcCW] Gallo SA12 (Call of Duty: Black Ops Cold War,11910,6226,868,5442,37,4,239,213,26,40502,1083
Static,"[ArcCW] KSP 45 (Call of Duty: Black Ops Cold War)",8576,6853,926,6142,12,4,197,171,26,51407,1192
Static,"[ArcCW] LAPA (Call of Duty: Black Ops Cold War)",9094,6080,791,5387,24,4,171,151,20,43310,1003
Static,"[ArcCW] Marshal (Call of Duty: Black Ops Cold War)",17181,17537,1064,13279,25,4,217,189,28,126916,1316
Static,"[ArcCW] MG 82 (Call of Duty: Black Ops Cold War)",14367,7796,1139,6718,24,5,239,222,17,54460,1468
Static,"[ArcCW] OTs 9 (Call of Duty: Black Ops Cold War)",9505,6376,818,5709,17,4,177,151,26,46311,1049
Static,"[ArcCW] ZRG 20mm (Call of Duty: Black Ops Cold War)",13887,17000,1194,13913,43,4,251,221,30,127160,1485